lap,position,seconds,nationality,drivername,name,time_gap
19,5,76.343,Monegasque,Charles Leclerc,Dutch Grand Prix,3567.0
20,5,76.238,Monegasque,Charles Leclerc,Dutch Grand Prix,3871.0
21,5,76.207,Monegasque,Charles Leclerc,Dutch Grand Prix,17053.0
22,5,76.322,Monegasque,Charles Leclerc,Dutch Grand Prix,18817.0
23,5,76.046,Monegasque,Charles Leclerc,Dutch Grand Prix,6403.0
24,4,76.812,Monegasque,Charles Leclerc,Dutch Grand Prix,21196.0
25,4,75.931,Monegasque,Charles Leclerc,Dutch Grand Prix,18776.0
26,4,76.249,Monegasque,Charles Leclerc,Dutch Grand Prix,5540.0
27,4,76.244,Monegasque,Charles Leclerc,Dutch Grand Prix,6049.0
28,4,76.321,Monegasque,Charles Leclerc,Dutch Grand Prix,20189.0
29,4,76.396,Monegasque,Charles Leclerc,Dutch Grand Prix,2608.0
30,4,76.703,Monegasque,Charles Leclerc,Dutch Grand Prix,9775.0
31,4,76.666,Monegasque,Charles Leclerc,Dutch Grand Prix,26792.0
32,4,77.418,Monegasque,Charles Leclerc,Dutch Grand Prix,20936.0
33,4,77.745,Monegasque,Charles Leclerc,Dutch Grand Prix,6748.0
34,4,80.851,Monegasque,Charles Leclerc,Dutch Grand Prix,22496.0
35,5,94.78,Monegasque,Charles Leclerc,Dutch Grand Prix,20638.0
36,5,75.463,Monegasque,Charles Leclerc,Dutch Grand Prix,10396.0
37,5,75.203,Monegasque,Charles Leclerc,Dutch Grand Prix,5415.0
38,5,75.342,Monegasque,Charles Leclerc,Dutch Grand Prix,5416.0
39,5,75.117,Monegasque,Charles Leclerc,Dutch Grand Prix,5836.0
40,5,75.325,Monegasque,Charles Leclerc,Dutch Grand Prix,16938.0
41,5,75.166,Monegasque,Charles Leclerc,Dutch Grand Prix,23057.0
42,5,75.466,Monegasque,Charles Leclerc,Dutch Grand Prix,6105.0
43,5,75.336,Monegasque,Charles Leclerc,Dutch Grand Prix,21770.0
44,5,75.095,Monegasque,Charles Leclerc,Dutch Grand Prix,5833.0
45,5,75.253,Monegasque,Charles Leclerc,Dutch Grand Prix,19568.0
46,5,75.235,Monegasque,Charles Leclerc,Dutch Grand Prix,4008.0
47,5,75.394,Monegasque,Charles Leclerc,Dutch Grand Prix,5864.0
48,5,75.004,Monegasque,Charles Leclerc,Dutch Grand Prix,19267.0
49,5,75.318,Monegasque,Charles Leclerc,Dutch Grand Prix,5521.0
50,5,75.093,Monegasque,Charles Leclerc,Dutch Grand Prix,4776.0
51,5,75.029,Monegasque,Charles Leclerc,Dutch Grand Prix,4592.0
52,5,74.821,Monegasque,Charles Leclerc,Dutch Grand Prix,4715.0
53,5,75.823,Monegasque,Charles Leclerc,Dutch Grand Prix,5312.0
54,5,75.27,Monegasque,Charles Leclerc,Dutch Grand Prix,4633.0
55,5,74.837,Monegasque,Charles Leclerc,Dutch Grand Prix,3405.0
56,5,74.86,Monegasque,Charles Leclerc,Dutch Grand Prix,4243.0
57,5,74.852,Monegasque,Charles Leclerc,Dutch Grand Prix,7007.0
58,5,74.78,Monegasque,Charles Leclerc,Dutch Grand Prix,4540.0
59,5,74.9,Monegasque,Charles Leclerc,Dutch Grand Prix,4616.0
60,5,74.787,Monegasque,Charles Leclerc,Dutch Grand Prix,11889.0
61,5,74.904,Monegasque,Charles Leclerc,Dutch Grand Prix,8204.0
62,5,74.837,Monegasque,Charles Leclerc,Dutch Grand Prix,5468.0
63,5,76.832,Monegasque,Charles Leclerc,Dutch Grand Prix,3882.0
64,5,77.754,Monegasque,Charles Leclerc,Dutch Grand Prix,4356.0
65,5,76.058,Monegasque,Charles Leclerc,Dutch Grand Prix,4257.0
66,5,75.852,Monegasque,Charles Leclerc,Dutch Grand Prix,8417.0
67,5,75.432,Monegasque,Charles Leclerc,Dutch Grand Prix,6883.0
68,5,75.458,Monegasque,Charles Leclerc,Dutch Grand Prix,21613.0
69,5,75.269,Monegasque,Charles Leclerc,Dutch Grand Prix,51838.0
70,5,76.589,Monegasque,Charles Leclerc,Dutch Grand Prix,6327.0
71,5,76.544,Monegasque,Charles Leclerc,Dutch Grand Prix,18679.0
1,6,83.478,Spanish,Carlos Sainz,Dutch Grand Prix,19594.0
2,6,78.168,Spanish,Carlos Sainz,Dutch Grand Prix,5314.0
3,6,77.552,Spanish,Carlos Sainz,Dutch Grand Prix,5712.0
4,6,77.269,Spanish,Carlos Sainz,Dutch Grand Prix,10462.0
5,6,77.044,Spanish,Carlos Sainz,Dutch Grand Prix,37915.0
6,6,76.989,Spanish,Carlos Sainz,Dutch Grand Prix,4462.0
7,6,77.055,Spanish,Carlos Sainz,Dutch Grand Prix,5659.0
8,6,76.814,Spanish,Carlos Sainz,Dutch Grand Prix,6463.0
9,6,76.893,Spanish,Carlos Sainz,Dutch Grand Prix,18749.0
10,6,76.677,Spanish,Carlos Sainz,Dutch Grand Prix,7195.0
11,6,76.76,Spanish,Carlos Sainz,Dutch Grand Prix,19177.0
12,6,76.796,Spanish,Carlos Sainz,Dutch Grand Prix,3635.0
13,6,76.451,Spanish,Carlos Sainz,Dutch Grand Prix,4878.0
14,6,76.631,Spanish,Carlos Sainz,Dutch Grand Prix,5709.0
