raceId,lap,leaderGap,driverId,drivername
1064,45,0.58,822,Valtteri Bottas
1064,46,0.424,822,Valtteri Bottas
1064,47,0.69,822,Valtteri Bottas
1064,48,0.764,822,Valtteri Bottas
1064,49,1.733,822,Valtteri Bottas
1064,50,1.455,822,Valtteri Bottas
1064,51,1.398,822,Valtteri Bottas
1064,52,0.854,822,Valtteri Bottas
1064,53,0.81,822,Valtteri Bottas
1064,54,1.108,822,Valtteri Bottas
1064,55,0.217,822,Valtteri Bottas
1064,56,1.24,822,Valtteri Bottas
1064,57,0.658,822,Valtteri Bottas
1064,58,0.539,822,Valtteri Bottas
1064,59,0.905,822,Valtteri Bottas
1064,60,1.02,822,Valtteri Bottas
1064,61,1.163,822,Valtteri Bottas
1064,62,1.339,822,Valtteri Bottas
1064,63,2.559,822,Valtteri Bottas
1064,64,0.574,822,Valtteri Bottas
1064,65,1.912,822,Valtteri Bottas
1064,66,1.287,822,Valtteri Bottas
1064,67,6.055,822,Valtteri Bottas
1064,68,21.613,822,Valtteri Bottas
1064,69,0.0,822,Valtteri Bottas
1064,70,0.334,822,Valtteri Bottas
1064,71,1.319,822,Valtteri Bottas
1064,72,4.055,822,Valtteri Bottas
1064,1,0.0,830,Max Verstappen
1064,2,0.0,830,Max Verstappen
1064,3,0.0,830,Max Verstappen
1064,4,0.092,830,Max Verstappen
1064,5,0.0,830,Max Verstappen
1064,6,0.0,830,Max Verstappen
1064,7,0.0,830,Max Verstappen
1064,8,0.0,830,Max Verstappen
1064,9,0.383,830,Max Verstappen
1064,10,0.465,830,Max Verstappen
1064,11,0.5,830,Max Verstappen
1064,12,0.0,830,Max Verstappen
1064,13,0.0,830,Max Verstappen
1064,14,0.0,830,Max Verstappen
1064,15,0.0,830,Max Verstappen
1064,16,0.016,830,Max Verstappen
1064,17,0.028,830,Max Verstappen
1064,18,0.0,830,Max Verstappen
1064,19,0.013,830,Max Verstappen
1064,20,0.717,830,Max Verstappen
1064,21,3.098,830,Max Verstappen
1064,22,18.817,830,Max Verstappen
1064,23,0.0,830,Max Verstappen
1064,24,0.019,830,Max Verstappen
1064,25,0.189,830,Max Verstappen
1064,26,0.425,830,Max Verstappen
1064,27,0.0,830,Max Verstappen
1064,28,0.109,830,Max Verstappen
1064,29,0.0,830,Max Verstappen
1064,30,1.836,830,Max Verstappen
1064,31,0.0,830,Max Verstappen
